No,feature_name,japanese_meaning,calculation_method,source_data,history_window,category,code_location,includes_maiden_history,related_features,gain_importance,split_importance,human_decision,calculation_detail_status,duplicate_name_count,input_column_type
119,position_bias_top6_v2,当該レースの展開・位置取り構成を表すposition bias top6 v2,同一レース出走馬の過去位置取りからfrontnessを作り、平均・密度・上位入線馬との差を計算。,同一レースの全出走馬と各馬の過去位置履歴,当該レース＋各馬の保持履歴,Pace / Position,"src/backtest.py:835-860,src/backtest.py:901-915",YES,position_bias_top6_v2,392.7903995513916,8.0,,CODE_TRACED,1,raw feature
120,position_bias_weighted_top6_v2,当該レースの展開・位置取り構成を表すposition bias weighted top6 v2,同一レース出走馬の過去位置取りからfrontnessを作り、平均・密度・上位入線馬との差を計算。,同一レースの全出走馬と各馬の過去位置履歴,当該レース＋各馬の保持履歴,Pace / Position,"src/backtest.py:835-860,src/backtest.py:901-915",YES,position_bias_weighted_top6_v2,6376.527627944946,81.0,,CODE_TRACED,1,raw feature
121,position_bias_residual_v2,当該レースの展開・位置取り構成を表すposition bias residual v2,同一レース出走馬の過去位置取りからfrontnessを作り、平均・密度・上位入線馬との差を計算。,同一レースの全出走馬と各馬の過去位置履歴,当該レース＋各馬の保持履歴,Pace / Position,"src/backtest.py:835-860,src/backtest.py:901-915",YES,position_bias_variant,5365.676523208618,90.0,,CODE_TRACED,1,raw feature
122,strong_against_bias_v2_last1,対象馬の直近3走についてstrong against bias v2 last1を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,strong_against_bias_v2_lastN,0.0,0.0,,CODE_TRACED,1,raw feature
123,strong_against_bias_v2_last2,対象馬の直近3走についてstrong against bias v2 last2を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,strong_against_bias_v2_lastN,0.0,0.0,,CODE_TRACED,1,raw feature
124,strong_against_bias_v2_last3,対象馬の直近3走についてstrong against bias v2 last3を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,strong_against_bias_v2_lastN,0.0,0.0,,CODE_TRACED,1,raw feature
125,setup_benefit_last1,対象馬の直近3走についてsetup benefit last1を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,setup_benefit_lastN,15.277700424194336,1.0,,CODE_TRACED,1,raw feature
126,setup_benefit_last2,対象馬の直近3走についてsetup benefit last2を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,setup_benefit_lastN,0.0,0.0,,CODE_TRACED,1,raw feature
127,setup_benefit_last3,対象馬の直近3走についてsetup benefit last3を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,setup_benefit_lastN,0.0,0.0,,CODE_TRACED,1,raw feature
128,adjusted_performance_v2_last1,対象馬の直近3走についてadjusted performance v2 last1を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,adjusted_performance_v2_lastN,0.0,0.0,,CODE_TRACED,1,raw feature
129,adjusted_performance_v2_last2,対象馬の直近3走についてadjusted performance v2 last2を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,adjusted_performance_v2_lastN,0.0,0.0,,CODE_TRACED,1,raw feature
130,adjusted_performance_v2_last3,対象馬の直近3走についてadjusted performance v2 last3を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,adjusted_performance_v2_lastN,0.0,0.0,,CODE_TRACED,1,raw feature
131,mean_adjusted_performance_v2_last3,対象馬の直近3走についてmean adjusted performance v2 last3を集約した値,直近3走の履歴値を対象に平均。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,mean_adjusted_performance_v2_lastN,0.0,0.0,,CODE_TRACED,1,raw feature
132,best_adjusted_performance_v2_last3,対象馬の直近3走についてbest adjusted performance v2 last3を集約した値,直近3走の履歴値を対象にmax。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,best_adjusted_performance_v2_lastN,0.0,0.0,,CODE_TRACED,1,raw feature
133,weighted_adjusted_performance_v2_last3,対象馬の直近3走についてweighted adjusted performance v2 last3を集約した値,"直近3走の履歴値を対象に重み付き平均（0.5,0.3,0.2）。履歴不足時は空配列の既定値0.0。",対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,weighted_adjusted_performance_v2_lastN,0.0,0.0,,CODE_TRACED,1,raw feature
134,max_strong_against_bias_v2_last3,対象馬の直近3走についてmax strong against bias v2 last3を集約した値,直近3走の履歴値を対象にmax。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,max_strong_against_bias_v2_lastN,0.0,0.0,,CODE_TRACED,1,raw feature
135,jockey_rides,予測時点までの騎手履歴に基づくjockey rides,jockey_stateを日付単位で更新し、率は平滑化（分子+1)/(騎乗数+5)。added valueは履歴平均。,KisyuCode別の過去騎乗結果,騎手の過去全履歴（recentは最大30件）,Jockey,src/backtest.py:1023-1028,N/A,jockey_rides,0.0,0.0,,CODE_TRACED,1,raw feature
136,jockey_win_rate,予測時点までの騎手履歴に基づくjockey win rate,jockey_stateを日付単位で更新し、率は平滑化（分子+1)/(騎乗数+5)。added valueは履歴平均。,KisyuCode別の過去騎乗結果,騎手の過去全履歴（recentは最大30件）,Jockey,src/backtest.py:1023-1028,N/A,jockey_win_rate,14175.206993103027,62.0,,CODE_TRACED,1,raw feature
137,jockey_top2_rate,予測時点までの騎手履歴に基づくjockey top2 rate,jockey_stateを日付単位で更新し、率は平滑化（分子+1)/(騎乗数+5)。added valueは履歴平均。,KisyuCode別の過去騎乗結果,騎手の過去全履歴（recentは最大30件）,Jockey,src/backtest.py:1023-1028,N/A,jockey_top2_rate,28523.781249046326,72.0,,CODE_TRACED,1,raw feature
138,jockey_place_rate,予測時点までの騎手履歴に基づくjockey place rate,jockey_stateを日付単位で更新し、率は平滑化（分子+1)/(騎乗数+5)。added valueは履歴平均。,KisyuCode別の過去騎乗結果,騎手の過去全履歴（recentは最大30件）,Jockey,src/backtest.py:1023-1028,N/A,jockey_place_rate,46154.71141242981,115.0,,CODE_TRACED,1,raw feature
139,jockey_added_value,予測時点までの騎手履歴に基づくjockey added value,jockey_stateを日付単位で更新し、率は平滑化（分子+1)/(騎乗数+5)。added valueは履歴平均。,KisyuCode別の過去騎乗結果,騎手の過去全履歴（recentは最大30件）,Jockey,src/backtest.py:1023-1028,N/A,jockey_added_value,1672.4772968292236,27.0,,CODE_TRACED,1,raw feature
140,recent_jockey_added_value,予測時点までの騎手履歴に基づくrecent jockey added value,jockey_stateを日付単位で更新し、率は平滑化（分子+1)/(騎乗数+5)。added valueは履歴平均。,KisyuCode別の過去騎乗結果,騎手の過去全履歴（recentは最大30件）,Jockey,src/backtest.py:1023-1028,N/A,recent_jockey_added_value,415.50339698791504,13.0,,CODE_TRACED,1,raw feature
141,jockey_form_trend,騎手のフォーム変化または乗替効果を表す想定の列（現コードでは常に0.0）,build_v1_features内で0.0を代入。履歴集計や乗替計算は行っていない。,jockey_state（ただし未使用）,N/A,Jockey,src/backtest.py:1028,N/A,jockey_form_trend,0.0,0.0,,PARTIALLY_UNCERTAIN,1,raw feature
142,jockey_change_added_value,騎手のフォーム変化または乗替効果を表す想定の列（現コードでは常に0.0）,build_v1_features内で0.0を代入。履歴集計や乗替計算は行っていない。,jockey_state（ただし未使用）,N/A,Jockey,src/backtest.py:1028,N/A,jockey_change_added_value,0.0,0.0,,PARTIALLY_UNCERTAIN,1,raw feature
143,race_class_score,レース格に関するrace class score,race_conditionsでクラス名をラベル/スコア化（未勝利=0、未知は賞金fallback）。直近値は過去条件を集約。,race条件名・grade・本賞金,当該レースまたは直近3走/過去勝利履歴,Race Class / Strength,"src/backtest.py:680-723,src/backtest.py:1070-1085",YES,race_class_score,224.0547981262207,3.0,,CODE_TRACED,1,raw feature
144,current_race_class_score,レース格に関するcurrent race class score,race_conditionsでクラス名をラベル/スコア化（未勝利=0、未知は賞金fallback）。直近値は過去条件を集約。,race条件名・grade・本賞金,当該レースまたは直近3走/過去勝利履歴,Race Class / Strength,"src/backtest.py:680-723,src/backtest.py:1070-1085",YES,current_race_class_score,0.0,0.0,,CODE_TRACED,1,raw feature
145,last1_race_class_score,前走のレース格が『score』であることを表す0/1列,元のカテゴリ列 last1_race_class を学習期間と評価月を結合した後に pandas.get_dummies(dummy_na=True) でone-hot化。,当該レース条件または過去1のレース条件,N/A,Race Class / Strength,src/backtest.py:1182-1199,N/A,lastN_race_class_score,0.0,0.0,,CODE_TRACED,1,one-hot
146,last2_race_class_score,前々走のレース格が『score』であることを表す0/1列,元のカテゴリ列 last2_race_class を学習期間と評価月を結合した後に pandas.get_dummies(dummy_na=True) でone-hot化。,当該レース条件または過去2のレース条件,N/A,Race Class / Strength,src/backtest.py:1182-1199,N/A,lastN_race_class_score,0.0,0.0,,CODE_TRACED,1,one-hot
147,last3_race_class_score,3走前のレース格が『score』であることを表す0/1列,元のカテゴリ列 last3_race_class を学習期間と評価月を結合した後に pandas.get_dummies(dummy_na=True) でone-hot化。,当該レース条件または過去3のレース条件,N/A,Race Class / Strength,src/backtest.py:1182-1199,N/A,lastN_race_class_score,0.0,0.0,,CODE_TRACED,1,one-hot
148,max_race_class_last3,対象馬の直近3走についてmax race class last3を集約した値,直近3走の履歴値を対象にmax。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Race Class / Strength,src/backtest.py:963-1020,YES,max_race_class_lastN,0.0,0.0,,CODE_TRACED,1,raw feature
149,mean_race_class_last3,対象馬の直近3走についてmean race class last3を集約した値,直近3走の履歴値を対象に平均。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Race Class / Strength,src/backtest.py:963-1020,YES,mean_race_class_lastN,0.0,0.0,,CODE_TRACED,1,raw feature
150,weighted_race_class_last3,対象馬の直近3走についてweighted race class last3を集約した値,"直近3走の履歴値を対象に重み付き平均（0.5,0.3,0.2）。履歴不足時は空配列の既定値0.0。",対象馬の過去3レース結果,直近3走,Race Class / Strength,src/backtest.py:963-1020,YES,weighted_race_class_lastN,0.0,0.0,,CODE_TRACED,1,raw feature
151,last1_margin_x_race_class,対象馬の前走における margin x race class,対象馬の履歴を新しい順に並べた直近1走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Recent Performance,src/backtest.py:963-1030,YES,lastN_margin_x_race_class,0.0,0.0,,CODE_TRACED,1,raw feature
152,last2_margin_x_race_class,対象馬の前々走における margin x race class,対象馬の履歴を新しい順に並べた直近2走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Recent Performance,src/backtest.py:963-1030,YES,lastN_margin_x_race_class,0.0,0.0,,CODE_TRACED,1,raw feature
153,last3_margin_x_race_class,対象馬の3走前における margin x race class,対象馬の履歴を新しい順に並べた直近3走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Recent Performance,src/backtest.py:963-1030,YES,lastN_margin_x_race_class,0.0,0.0,,CODE_TRACED,1,raw feature
154,is_filly_mare_only,当該レース条件のis filly mare only,race_conditionsのクラス・性別・年齢判定と、前走条件との差分。,レース名・条件名・grade,当該レース＋前走,Race Composition,"src/backtest.py:810-818,src/backtest.py:1070-1085",UNKNOWN,is_filly_mare_only,0.0,0.0,,CODE_TRACED,1,raw feature
155,is_2yo_only,当該レース条件のis 2yo only,race_conditionsのクラス・性別・年齢判定と、前走条件との差分。,レース名・条件名・grade,当該レース＋前走,Race Composition,"src/backtest.py:810-818,src/backtest.py:1070-1085",UNKNOWN,is_2yo_only,0.0,0.0,,CODE_TRACED,1,raw feature
156,is_3yo_only,当該レース条件のis 3yo only,race_conditionsのクラス・性別・年齢判定と、前走条件との差分。,レース名・条件名・grade,当該レース＋前走,Race Composition,"src/backtest.py:810-818,src/backtest.py:1070-1085",UNKNOWN,is_3yo_only,0.0,0.0,,CODE_TRACED,1,raw feature
157,last1_is_filly_mare_only,対象馬の前走における is filly mare only,対象馬の履歴を新しい順に並べた直近1走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Other,src/backtest.py:963-1030,YES,lastN_is_filly_mare_only,0.0,0.0,,CODE_TRACED,1,raw feature
158,last2_is_filly_mare_only,対象馬の前々走における is filly mare only,対象馬の履歴を新しい順に並べた直近2走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Other,src/backtest.py:963-1030,YES,lastN_is_filly_mare_only,0.0,0.0,,CODE_TRACED,1,raw feature
159,last3_is_filly_mare_only,対象馬の3走前における is filly mare only,対象馬の履歴を新しい順に並べた直近3走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Other,src/backtest.py:963-1030,YES,lastN_is_filly_mare_only,0.0,0.0,,CODE_TRACED,1,raw feature
160,race_class_change,レース格に関するrace class change,race_conditionsでクラス名をラベル/スコア化（未勝利=0、未知は賞金fallback）。直近値は過去条件を集約。,race条件名・grade・本賞金,当該レースまたは直近3走/過去勝利履歴,Race Class / Strength,"src/backtest.py:680-723,src/backtest.py:1070-1085",YES,race_class_change,33.755300521850586,2.0,,CODE_TRACED,1,raw feature
161,female_only_to_open,当該レース条件のfemale only to open,race_conditionsのクラス・性別・年齢判定と、前走条件との差分。,レース名・条件名・grade,当該レース＋前走,Other,"src/backtest.py:810-818,src/backtest.py:1070-1085",UNKNOWN,female_only_to_open,0.0,0.0,,CODE_TRACED,1,raw feature
162,open_to_female_only,当該レース条件のopen to female only,race_conditionsのクラス・性別・年齢判定と、前走条件との差分。,レース名・条件名・grade,当該レース＋前走,Other,"src/backtest.py:810-818,src/backtest.py:1070-1085",UNKNOWN,open_to_female_only,0.0,0.0,,CODE_TRACED,1,raw feature
163,age_condition_change,当該レース条件のage condition change,race_conditionsのクラス・性別・年齢判定と、前走条件との差分。,レース名・条件名・grade,当該レース＋前走,Other,"src/backtest.py:810-818,src/backtest.py:1070-1085",UNKNOWN,age_condition_change,0.0,0.0,,CODE_TRACED,1,raw feature
164,race_first_prize,当該レースまたは直近3走・勝者履歴の賞金に関するrace first prize,race_Honsyokin0-4を円換算し、log1p・平均・最大・比率・差分などを計算。比率のゼロ除算は1.0。,race_Honsyokin0-4,当該レース／直近3走／勝者の対象レース以前の履歴,Race Class / Strength,"src/backtest.py:813-820,src/backtest.py:1055-1068",YES,race_first_prize,7727.232168197632,54.0,,CODE_TRACED,1,raw feature
165,race_second_prize,当該レースまたは直近3走・勝者履歴の賞金に関するrace second prize,race_Honsyokin0-4を円換算し、log1p・平均・最大・比率・差分などを計算。比率のゼロ除算は1.0。,race_Honsyokin0-4,当該レース／直近3走／勝者の対象レース以前の履歴,Race Class / Strength,"src/backtest.py:813-820,src/backtest.py:1055-1068",YES,race_second_prize,0.0,0.0,,CODE_TRACED,1,raw feature
166,race_third_prize,当該レースまたは直近3走・勝者履歴の賞金に関するrace third prize,race_Honsyokin0-4を円換算し、log1p・平均・最大・比率・差分などを計算。比率のゼロ除算は1.0。,race_Honsyokin0-4,当該レース／直近3走／勝者の対象レース以前の履歴,Race Class / Strength,"src/backtest.py:813-820,src/backtest.py:1055-1068",YES,race_third_prize,803.9788904190063,10.0,,CODE_TRACED,1,raw feature
167,race_total_top5_prize,当該レースまたは直近3走・勝者履歴の賞金に関するrace total top5 prize,race_Honsyokin0-4を円換算し、log1p・平均・最大・比率・差分などを計算。比率のゼロ除算は1.0。,race_Honsyokin0-4,当該レース／直近3走／勝者の対象レース以前の履歴,Race Class / Strength,"src/backtest.py:813-820,src/backtest.py:1055-1068",YES,race_total_top5_prize,356.53829765319824,5.0,,CODE_TRACED,1,raw feature
168,race_first_prize_log,当該レースまたは直近3走・勝者履歴の賞金に関するrace first prize log,race_Honsyokin0-4を円換算し、log1p・平均・最大・比率・差分などを計算。比率のゼロ除算は1.0。,race_Honsyokin0-4,当該レース／直近3走／勝者の対象レース以前の履歴,Race Class / Strength,"src/backtest.py:813-820,src/backtest.py:1055-1068",YES,race_first_prize_log,0.0,0.0,,CODE_TRACED,1,raw feature
169,race_total_top5_prize_log,当該レースまたは直近3走・勝者履歴の賞金に関するrace total top5 prize log,race_Honsyokin0-4を円換算し、log1p・平均・最大・比率・差分などを計算。比率のゼロ除算は1.0。,race_Honsyokin0-4,当該レース／直近3走／勝者の対象レース以前の履歴,Race Class / Strength,"src/backtest.py:813-820,src/backtest.py:1055-1068",YES,race_total_top5_prize_log,0.0,0.0,,CODE_TRACED,1,raw feature
170,last1_race_first_prize,対象馬の前走における race first prize,対象馬の履歴を新しい順に並べた直近1走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Race Class / Strength,src/backtest.py:963-1030,YES,lastN_race_first_prize,767.4922924041748,12.0,,CODE_TRACED,1,raw feature
171,last2_race_first_prize,対象馬の前々走における race first prize,対象馬の履歴を新しい順に並べた直近2走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Race Class / Strength,src/backtest.py:963-1030,YES,lastN_race_first_prize,26.01849937438965,1.0,,CODE_TRACED,1,raw feature
172,last3_race_first_prize,対象馬の3走前における race first prize,対象馬の履歴を新しい順に並べた直近3走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Race Class / Strength,src/backtest.py:963-1030,YES,lastN_race_first_prize,16.617900848388672,1.0,,CODE_TRACED,1,raw feature
173,last1_race_first_prize_log,対象馬の前走における race first prize log,対象馬の履歴を新しい順に並べた直近1走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Race Class / Strength,src/backtest.py:963-1030,YES,lastN_race_first_prize_log,0.0,0.0,,CODE_TRACED,1,raw feature
174,last2_race_first_prize_log,対象馬の前々走における race first prize log,対象馬の履歴を新しい順に並べた直近2走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Race Class / Strength,src/backtest.py:963-1030,YES,lastN_race_first_prize_log,0.0,0.0,,CODE_TRACED,1,raw feature
175,last3_race_first_prize_log,対象馬の3走前における race first prize log,対象馬の履歴を新しい順に並べた直近3走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Race Class / Strength,src/backtest.py:963-1030,YES,lastN_race_first_prize_log,0.0,0.0,,CODE_TRACED,1,raw feature
176,max_race_prize_last3,対象馬の直近3走についてmax race prize last3を集約した値,直近3走の履歴値を対象にmax。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Race Class / Strength,src/backtest.py:963-1020,YES,max_race_prize_lastN,94.66680145263672,2.0,,CODE_TRACED,1,raw feature
177,mean_race_prize_last3,対象馬の直近3走についてmean race prize last3を集約した値,直近3走の履歴値を対象に平均。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Race Class / Strength,src/backtest.py:963-1020,YES,mean_race_prize_lastN,211.8724946975708,5.0,,CODE_TRACED,1,raw feature
178,weighted_race_prize_last3,対象馬の直近3走についてweighted race prize last3を集約した値,"直近3走の履歴値を対象に重み付き平均（0.5,0.3,0.2）。履歴不足時は空配列の既定値0.0。",対象馬の過去3レース結果,直近3走,Race Class / Strength,src/backtest.py:963-1020,YES,weighted_race_prize_lastN,259.5249996185303,6.0,,CODE_TRACED,1,raw feature
179,prize_change_from_last1,対象馬の直近3走についてprize change from last1を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Race Class / Strength,src/backtest.py:963-1020,YES,prize_change_from_lastN,5713.745090484619,12.0,,CODE_TRACED,1,raw feature
180,prize_change_from_last3_mean,対象馬の直近3走についてprize change from last3 meanを集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Race Class / Strength,src/backtest.py:963-1020,YES,prize_change_from_last3_mean,17647.1319065094,64.0,,CODE_TRACED,1,raw feature
181,prize_ratio_vs_last1,対象馬の直近3走についてprize ratio vs last1を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Race Class / Strength,src/backtest.py:963-1020,YES,prize_ratio_vs_lastN,6486.998893737793,34.0,,CODE_TRACED,1,raw feature
182,prize_ratio_vs_last3_mean,対象馬の直近3走についてprize ratio vs last3 meanを集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Race Class / Strength,src/backtest.py:963-1020,YES,prize_ratio_vs_last3_mean,15488.502010345459,147.0,,CODE_TRACED,1,raw feature
183,last1_margin_x_prize_strength,対象馬の前走における margin x prize strength,対象馬の履歴を新しい順に並べた直近1走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Recent Performance,src/backtest.py:963-1030,YES,lastN_margin_x_prize_strength,4308.671380996704,14.0,,CODE_TRACED,1,raw feature
184,last2_margin_x_prize_strength,対象馬の前々走における margin x prize strength,対象馬の履歴を新しい順に並べた直近2走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Recent Performance,src/backtest.py:963-1030,YES,lastN_margin_x_prize_strength,181.5838966369629,4.0,,CODE_TRACED,1,raw feature
185,last3_margin_x_prize_strength,対象馬の3走前における margin x prize strength,対象馬の履歴を新しい順に並べた直近3走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Recent Performance,src/backtest.py:963-1030,YES,lastN_margin_x_prize_strength,53.78729820251465,2.0,,CODE_TRACED,1,raw feature
186,racecourse_中京,競馬場カテゴリが『中京』であることを表す0/1列,元のカテゴリ列 racecourse を学習期間と評価月を結合した後に pandas.get_dummies(dummy_na=True) でone-hot化。,当該レース条件または過去のレース条件,N/A,Course / Surface,src/backtest.py:1182-1199,N/A,racecourse_中京,40.18939971923828,1.0,,CODE_TRACED,1,one-hot
187,racecourse_中山,競馬場カテゴリが『中山』であることを表す0/1列,元のカテゴリ列 racecourse を学習期間と評価月を結合した後に pandas.get_dummies(dummy_na=True) でone-hot化。,当該レース条件または過去のレース条件,N/A,Course / Surface,src/backtest.py:1182-1199,N/A,racecourse_中山,0.0,0.0,,CODE_TRACED,1,one-hot
188,racecourse_京都,競馬場カテゴリが『京都』であることを表す0/1列,元のカテゴリ列 racecourse を学習期間と評価月を結合した後に pandas.get_dummies(dummy_na=True) でone-hot化。,当該レース条件または過去のレース条件,N/A,Course / Surface,src/backtest.py:1182-1199,N/A,racecourse_京都,0.0,0.0,,CODE_TRACED,1,one-hot
189,racecourse_函館,競馬場カテゴリが『函館』であることを表す0/1列,元のカテゴリ列 racecourse を学習期間と評価月を結合した後に pandas.get_dummies(dummy_na=True) でone-hot化。,当該レース条件または過去のレース条件,N/A,Course / Surface,src/backtest.py:1182-1199,N/A,racecourse_函館,0.0,0.0,,CODE_TRACED,1,one-hot
190,racecourse_小倉,競馬場カテゴリが『小倉』であることを表す0/1列,元のカテゴリ列 racecourse を学習期間と評価月を結合した後に pandas.get_dummies(dummy_na=True) でone-hot化。,当該レース条件または過去のレース条件,N/A,Course / Surface,src/backtest.py:1182-1199,N/A,racecourse_小倉,0.0,0.0,,CODE_TRACED,1,one-hot
191,racecourse_新潟,競馬場カテゴリが『新潟』であることを表す0/1列,元のカテゴリ列 racecourse を学習期間と評価月を結合した後に pandas.get_dummies(dummy_na=True) でone-hot化。,当該レース条件または過去のレース条件,N/A,Course / Surface,src/backtest.py:1182-1199,N/A,racecourse_新潟,551.2570934295654,12.0,,CODE_TRACED,1,one-hot
192,racecourse_札幌,競馬場カテゴリが『札幌』であることを表す0/1列,元のカテゴリ列 racecourse を学習期間と評価月を結合した後に pandas.get_dummies(dummy_na=True) でone-hot化。,当該レース条件または過去のレース条件,N/A,Course / Surface,src/backtest.py:1182-1199,N/A,racecourse_札幌,171.69259643554688,5.0,,CODE_TRACED,1,one-hot
193,racecourse_東京,競馬場カテゴリが『東京』であることを表す0/1列,元のカテゴリ列 racecourse を学習期間と評価月を結合した後に pandas.get_dummies(dummy_na=True) でone-hot化。,当該レース条件または過去のレース条件,N/A,Course / Surface,src/backtest.py:1182-1199,N/A,racecourse_東京,36.26530075073242,1.0,,CODE_TRACED,1,one-hot
194,racecourse_福島,競馬場カテゴリが『福島』であることを表す0/1列,元のカテゴリ列 racecourse を学習期間と評価月を結合した後に pandas.get_dummies(dummy_na=True) でone-hot化。,当該レース条件または過去のレース条件,N/A,Course / Surface,src/backtest.py:1182-1199,N/A,racecourse_福島,493.21120262145996,10.0,,CODE_TRACED,1,one-hot
195,racecourse_阪神,競馬場カテゴリが『阪神』であることを表す0/1列,元のカテゴリ列 racecourse を学習期間と評価月を結合した後に pandas.get_dummies(dummy_na=True) でone-hot化。,当該レース条件または過去のレース条件,N/A,Course / Surface,src/backtest.py:1182-1199,N/A,racecourse_阪神,0.0,0.0,,CODE_TRACED,1,one-hot
196,racecourse_nan,競馬場カテゴリが『nan』であることを表す0/1列,元のカテゴリ列 racecourse を学習期間と評価月を結合した後に pandas.get_dummies(dummy_na=True) でone-hot化。,当該レース条件または過去のレース条件,N/A,Course / Surface,src/backtest.py:1182-1199,N/A,racecourse_nan,0.0,0.0,,CODE_TRACED,1,one-hot
197,surface_芝,芝・ダート等の馬場種別が『芝』であることを表す0/1列,元のカテゴリ列 surface を学習期間と評価月を結合した後に pandas.get_dummies(dummy_na=True) でone-hot化。,当該レース条件または過去のレース条件,N/A,Course / Surface,src/backtest.py:1182-1199,N/A,surface_芝,0.0,0.0,,CODE_TRACED,1,one-hot
198,surface_nan,芝・ダート等の馬場種別が『nan』であることを表す0/1列,元のカテゴリ列 surface を学習期間と評価月を結合した後に pandas.get_dummies(dummy_na=True) でone-hot化。,当該レース条件または過去のレース条件,N/A,Course / Surface,src/backtest.py:1182-1199,N/A,surface_nan,0.0,0.0,,CODE_TRACED,1,one-hot
199,grade_code_A,グレード区分が『A』であることを表す0/1列,元のカテゴリ列 grade_code を学習期間と評価月を結合した後に pandas.get_dummies(dummy_na=True) でone-hot化。,当該レース条件または過去のレース条件,N/A,Race Class / Strength,src/backtest.py:1182-1199,N/A,grade_code_A,0.0,0.0,,CODE_TRACED,1,one-hot
200,grade_code_B,グレード区分が『B』であることを表す0/1列,元のカテゴリ列 grade_code を学習期間と評価月を結合した後に pandas.get_dummies(dummy_na=True) でone-hot化。,当該レース条件または過去のレース条件,N/A,Race Class / Strength,src/backtest.py:1182-1199,N/A,grade_code_B,0.0,0.0,,CODE_TRACED,1,one-hot
