feature,feature_group,used_model_d,used_model_e,used_model_f,used_model_g,meaning,level,temporal_safe,constant_rate,missing_rate,unknown_rate,duplicate_candidate,new_policy,replacement_feature,reason
hidden_strength_last2,POSITION,0,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
hidden_strength_last3,POSITION,0,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
max_hidden_strength_last3,POSITION,0,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
max_strong_against_bias_last3,POSITION,0,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
strong_against_bias_last1,POSITION,0,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
strong_against_bias_last2,POSITION,0,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
strong_against_bias_last3,POSITION,0,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
race_position_bias_last1,POSITION,0,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,INTERMEDIATE_ONLY,,cleanup inventory: source cache schema and model lists
race_position_bias_last2,POSITION,0,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,INTERMEDIATE_ONLY,,cleanup inventory: source cache schema and model lists
race_position_bias_last3,POSITION,0,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,INTERMEDIATE_ONLY,,cleanup inventory: source cache schema and model lists
setup_improvement,POSITION,0,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
hidden_strength_x_race_strength,POSITION,0,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
last1_race_first_prize,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
last2_race_first_prize,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
last3_race_first_prize,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
last1_race_first_prize_log,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
last2_race_first_prize_log,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
last3_race_first_prize_log,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
max_race_prize_last3,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
mean_race_prize_last3,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
weighted_race_prize_last3,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
prize_change_from_last1,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
prize_change_from_last3_mean,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
prize_ratio_vs_last1,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
prize_ratio_vs_last3_mean,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
last1_margin_x_prize_strength,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
last2_margin_x_prize_strength,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
last3_margin_x_prize_strength,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
current_race_class_score,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
last1_race_class_score,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
last2_race_class_score,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
last3_race_class_score,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
max_race_class_last3,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
mean_race_class_last3,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
weighted_race_class_last3,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
last1_margin_x_race_class,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
last2_margin_x_race_class,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
last3_margin_x_race_class,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
last1_race_class,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
last2_race_class,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
last3_race_class,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
last1_sex_condition,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
last2_sex_condition,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
last3_sex_condition,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
last1_age_condition,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
last2_age_condition,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
last3_age_condition,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
last1_is_filly_mare_only,BASE,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
last2_is_filly_mare_only,BASE,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
last3_is_filly_mare_only,BASE,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
race_class_change,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
female_only_to_open,BASE,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
open_to_female_only,BASE,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
age_condition_change,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
